GT	type	size	error	etype	correct.bkpt	sample
hom	INV	2879	2	start	FALSE	s0
hom	INV	856	5	start	FALSE	s0
het	INV	68	6	both	FALSE	s0
hom	INV	82	4	both	FALSE	s0
het	INV	54	1	both	FALSE	s0
het	INV	149	9	both	FALSE	s0
hom	INV	190	6	both	FALSE	s0
hom	INV	77	6	both	FALSE	s0
het	INV	136	2	both	FALSE	s0
het	INV	152	4	both	FALSE	s0
het	INV	2619	9	both	FALSE	s0
het	INV	3183	8	both	FALSE	s0
hom	INV	240	1	start	FALSE	s0
hom	INV	60	4	both	FALSE	s0
hom	INV	1695	10	both	FALSE	s0
het	INV	179	6	start	FALSE	s0
het	INV	171	2	start	FALSE	s0
hom	INV	58	9	start	FALSE	s0
het	INV	59	5	start	FALSE	s0
het	INV	356	9	both	FALSE	s0
hom	INV	156	3	start	FALSE	s0
het	INV	114	10	start	TRUE	s0
het	INV	103	2	both	TRUE	s0
hom	INV	510	7	both	FALSE	s0
het	INV	77	10	both	FALSE	s0
het	INV	56	5	start	TRUE	s0
het	INV	90	7	start	TRUE	s0
het	INV	2847	1	start	FALSE	s0
hom	INV	60	1	both	FALSE	s0
hom	INV	250	5	both	FALSE	s0
het	INV	172	6	start	FALSE	s0
het	INV	1079	7	start	FALSE	s0
hom	INV	80	2	both	FALSE	s0
het	INV	52	8	both	FALSE	s0
hom	INV	55	6	start	FALSE	s0
hom	INV	2378	4	both	FALSE	s0
hom	INV	1897	1	start	FALSE	s0
hom	INV	378	10	both	FALSE	s0
het	INV	354	5	start	FALSE	s0
het	INV	99	1	both	FALSE	s0
hom	INV	48	2	both	FALSE	s0
het	INV	6111	4	start	FALSE	s0
hom	INV	76	8	both	FALSE	s0
hom	INV	84	10	start	FALSE	s0
het	INV	141	2	start	FALSE	s0
hom	INV	319	10	both	FALSE	s0
het	INV	208	8	both	FALSE	s0
hom	INV	226	10	both	FALSE	s0
hom	INV	126	3	both	FALSE	s0
hom	INV	1539	2	start	FALSE	s0
het	INV	74	4	start	FALSE	s0
het	INV	56	5	both	FALSE	s0
het	INV	333	7	both	FALSE	s0
hom	INV	124	5	start	FALSE	s0
hom	INV	155	5	start	FALSE	s0
hom	INV	68	4	both	FALSE	s0
hom	INV	58	8	start	FALSE	s0
het	INV	100	2	start	FALSE	s0
hom	INV	76	5	start	FALSE	s0
hom	INV	703	2	start	FALSE	s0
hom	INV	52	8	both	FALSE	s0
het	INV	3097	4	start	FALSE	s0
hom	INV	51	6	start	TRUE	s0
het	INV	129	3	both	FALSE	s0
hom	INV	885	3	start	FALSE	s0
het	INV	1109	7	start	FALSE	s0
het	INV	66	10	start	FALSE	s0
hom	INV	317	5	both	FALSE	s0
hom	INV	87	2	start	FALSE	s0
het	INV	68	3	start	FALSE	s0
hom	INV	296	7	both	FALSE	s0
het	INV	337	10	start	FALSE	s0
het	INV	1756	9	both	FALSE	s0
het	INV	120	1	both	FALSE	s0
hom	INV	74	2	start	FALSE	s0
het	INV	70	8	start	FALSE	s0
hom	INV	50	3	start	FALSE	s0
hom	INV	2231	3	both	FALSE	s0
hom	INV	128	4	start	FALSE	s0
hom	INV	561	1	both	FALSE	s0
het	INV	331	1	start	FALSE	s0
hom	INV	380	5	start	FALSE	s0
hom	INV	50	1	start	TRUE	s0
het	INV	101	5	start	TRUE	s0
het	INV	245	2	start	FALSE	s0
hom	INV	231	6	start	FALSE	s0
hom	INV	68	7	both	FALSE	s0
hom	INV	111	10	both	FALSE	s0
hom	INV	109	4	start	FALSE	s0
het	INV	216	6	start	FALSE	s0
het	INV	64	6	both	FALSE	s0
hom	INV	53	4	start	TRUE	s0
het	INV	241	7	start	TRUE	s0
hom	INV	464	4	both	FALSE	s0
hom	INV	351	10	both	FALSE	s0
hom	INV	129	8	both	FALSE	s0
hom	INV	1036	9	start	FALSE	s0
het	INV	501	8	both	FALSE	s0
het	INV	2044	1	start	FALSE	s0
hom	INV	73	10	both	FALSE	s0
het	INV	715	2	both	FALSE	s0
het	INV	159	4	both	FALSE	s0
hom	INV	60	7	both	FALSE	s0
hom	INV	168	1	both	FALSE	s0
het	INV	1400	9	both	FALSE	s0
hom	INV	73	2	start	FALSE	s0
hom	INV	2884	6	both	FALSE	s0
het	INV	48	1	start	FALSE	s0
het	INV	85	3	start	TRUE	s0
het	INV	103	10	start	FALSE	s0
het	INV	99	8	start	FALSE	s0
het	INV	80	10	both	FALSE	s0
hom	INV	186	6	both	FALSE	s0
het	INV	62	6	start	FALSE	s0
het	INV	131	3	start	FALSE	s0
hom	INV	99	3	both	FALSE	s0
het	INV	112	6	start	FALSE	s0
het	INV	174	1	start	TRUE	s0
hom	INV	152	10	both	FALSE	s0
het	INV	60	7	both	FALSE	s0
hom	INV	318	1	start	FALSE	s0
hom	INV	56	10	both	FALSE	s0
het	INV	129	5	start	FALSE	s0
hom	INV	1908	10	both	FALSE	s0
hom	INV	60	4	start	FALSE	s0
het	INV	288	3	both	FALSE	s0
het	INV	116	3	both	FALSE	s0
het	INV	72	1	start	FALSE	s0
hom	INV	6856	7	start	FALSE	s0
het	INV	204	4	start	FALSE	s0
hom	INV	80	8	start	TRUE	s0
hom	INV	190	7	start	FALSE	s0
hom	INV	138	4	start	FALSE	s0
hom	INV	1028	6	start	FALSE	s0
hom	INV	96	5	both	FALSE	s0
hom	INV	64	7	start	FALSE	s0
het	INV	6036	1	start	FALSE	s0
het	INV	82	7	both	FALSE	s0
hom	INV	216	2	start	FALSE	s0
hom	INV	119	9	start	FALSE	s0
hom	INV	68	2	both	FALSE	s0
hom	INV	90	6	start	TRUE	s0
het	INV	58	2	start	FALSE	s0
het	INV	65	10	start	FALSE	s0
hom	INV	60	6	start	FALSE	s0
hom	INV	303	1	start	FALSE	s0
het	INV	63	10	both	FALSE	s0
het	INV	102	7	start	FALSE	s0
hom	INV	284	10	start	FALSE	s0
het	INV	299	5	both	FALSE	s0
hom	INV	87	5	start	FALSE	s0
het	INV	15239	10	start	FALSE	s0
hom	INV	68	10	start	FALSE	s0
hom	INV	59	6	both	FALSE	s0
hom	INV	741	5	start	FALSE	s0
hom	INV	90	10	both	FALSE	s0
hom	INV	55	9	start	FALSE	s0
het	INV	109	3	both	FALSE	s0
het	INV	70	1	both	FALSE	s0
hom	INV	64	10	both	FALSE	s0
hom	INV	1600	5	start	FALSE	s0
hom	INV	792	7	both	FALSE	s0
hom	INV	94	10	both	FALSE	s0
het	INV	50	6	start	FALSE	s0
het	INV	53	3	start	FALSE	s0
het	INV	2959	9	start	FALSE	s0
het	INV	1755	9	both	FALSE	s0
hom	INV	274	2	both	FALSE	s0
het	INV	122	6	both	FALSE	s0
hom	INV	82	4	both	FALSE	s0
hom	INV	3479	6	both	FALSE	s0
het	INV	86	1	start	FALSE	s0
het	INV	478	7	start	FALSE	s0
het	INV	59	5	start	FALSE	s0
hom	INV	334	10	start	TRUE	s0
hom	INV	396	8	start	FALSE	s0
het	INV	92	4	both	FALSE	s0
hom	INV	303	1	both	FALSE	s0
het	INV	9465	1	start	FALSE	s0
het	INV	1600	9	both	FALSE	s0
hom	INV	90	9	start	FALSE	s0
het	INV	1959	10	start	FALSE	s0
hom	INV	144	5	start	FALSE	s0
het	INV	256	9	start	FALSE	s0
het	INV	100	7	start	TRUE	s0
het	INV	309	3	both	FALSE	s0
het	INV	1034	5	both	FALSE	s0
hom	INV	334	1	both	FALSE	s0
hom	INV	89	6	both	FALSE	s0
het	INV	308	8	both	FALSE	s0
hom	INV	110	8	start	FALSE	s0
het	INV	225	5	both	FALSE	s0
het	INV	89	8	start	FALSE	s0
hom	INV	204	4	both	FALSE	s0
het	INV	60	2	start	FALSE	s0
hom	INV	201	3	both	FALSE	s0
hom	INV	80	2	both	FALSE	s0
hom	INV	76	2	both	FALSE	s0
hom	INV	59	8	start	FALSE	s0
het	INV	94	7	start	FALSE	s0
het	INV	876	6	start	FALSE	s0
het	INV	66	5	both	FALSE	s0
het	INV	50	5	both	FALSE	s0
het	INV	319	10	start	FALSE	s0
het	INV	75	4	start	TRUE	s0
het	INV	186	8	both	FALSE	s0
hom	INV	535	10	both	FALSE	s0
hom	INV	180	7	start	TRUE	s0
hom	INV	394	10	both	FALSE	s0
het	INV	57	2	both	FALSE	s0
hom	INV	17993	2	both	FALSE	s0
het	INV	457	7	both	FALSE	s0
hom	INV	50	8	both	FALSE	s0
het	INV	140	7	start	TRUE	s0
het	INV	353	1	start	FALSE	s0
hom	INV	340	6	both	FALSE	s0
hom	INV	66	6	both	FALSE	s0
het	INV	62	1	start	FALSE	s0
het	INV	302	6	start	FALSE	s0
het	INV	102	1	both	FALSE	s0
het	INV	48	9	start	FALSE	s0
het	INV	63	5	both	FALSE	s0
hom	INV	101	4	both	FALSE	s0
hom	INV	103	7	both	FALSE	s0
hom	INV	122	2	start	FALSE	s0
hom	INV	127	3	start	FALSE	s0
het	INV	118	4	both	FALSE	s0
hom	INV	192	6	start	FALSE	s0
hom	INV	55	5	both	FALSE	s0
het	INV	178	4	start	TRUE	s0
hom	INV	6113	6	start	FALSE	s0
het	INV	477	1	start	FALSE	s0
hom	INV	108	8	start	FALSE	s0
het	INV	475	1	both	FALSE	s0
hom	INV	52	2	start	FALSE	s0
het	INV	6313	3	start	FALSE	s0
hom	INV	412	1	start	FALSE	s0
hom	INV	210	8	both	FALSE	s0
het	INV	1345	5	both	FALSE	s0
het	INV	50	10	start	FALSE	s0
hom	INV	170	5	start	FALSE	s0
het	INV	330	6	both	FALSE	s0
hom	INV	133	2	both	FALSE	s0
het	INV	84	6	start	FALSE	s0
het	INV	53	8	both	FALSE	s0
het	INV	135	1	both	FALSE	s0
hom	INV	262	10	both	FALSE	s0
het	INV	64	3	start	FALSE	s0
het	INV	72	10	both	FALSE	s0
het	INV	6113	4	start	FALSE	s0
hom	INV	121	1	both	FALSE	s0
hom	INV	321	1	both	FALSE	s0
het	INV	175	7	start	FALSE	s0
hom	INV	336	9	start	FALSE	s0
hom	INV	112	6	start	TRUE	s0
hom	INV	296	4	both	FALSE	s0
hom	INV	50	3	start	FALSE	s0
hom	INV	93	4	both	FALSE	s0
het	INV	1975	8	start	FALSE	s0
het	INV	1000	6	both	FALSE	s0
hom	INV	4522	7	start	FALSE	s0
het	INV	255	4	start	FALSE	s0
het	INV	231	3	start	FALSE	s0
hom	INV	70	7	both	FALSE	s0
hom	INV	108	9	start	FALSE	s0
het	INV	8036	6	start	FALSE	s0
hom	INV	189	9	both	FALSE	s0
hom	INV	50	1	start	TRUE	s0
hom	INV	160	10	both	FALSE	s0
hom	INV	190	9	both	FALSE	s0
hom	INV	172	2	start	FALSE	s0
hom	INV	67	8	both	FALSE	s0
hom	INV	305	9	start	FALSE	s0
het	INV	51	9	both	FALSE	s0
het	INV	125	8	both	FALSE	s0
het	INV	122	7	start	TRUE	s0
hom	INV	111	1	both	FALSE	s0
het	INV	67	5	both	FALSE	s0
hom	INV	112	4	both	FALSE	s0
hom	INV	58	6	start	FALSE	s0
het	INV	610	1	both	FALSE	s0
hom	INV	79	6	both	FALSE	s0
hom	INV	66	1	both	FALSE	s0
hom	INV	76	8	start	FALSE	s0
hom	INV	262	8	both	FALSE	s0
hom	INV	72	3	both	FALSE	s0
het	INV	326	2	start	FALSE	s0
hom	INV	216	6	start	FALSE	s0
hom	INV	78	4	both	FALSE	s0
het	INV	121	9	both	FALSE	s0
het	INV	54	1	start	FALSE	s0
het	INV	570	5	both	FALSE	s0
het	INV	59	1	both	FALSE	s0
hom	INV	957	2	both	FALSE	s0
hom	INV	305	2	both	FALSE	s0
hom	INV	318	9	both	FALSE	s0
hom	INV	54	5	start	FALSE	s0
hom	INV	166	9	both	FALSE	s0
hom	INV	313	10	start	TRUE	s0
hom	INV	52	2	both	FALSE	s0
hom	INV	79	9	both	FALSE	s0
het	INV	106	8	both	FALSE	s0
het	INV	200	6	both	FALSE	s0
hom	INV	346	2	start	FALSE	s0
het	INV	173	2	both	FALSE	s0
het	INV	78	2	start	FALSE	s0
hom	INV	53	4	both	FALSE	s0
het	INV	330	5	start	FALSE	s0
hom	INV	321	2	both	FALSE	s0
hom	INV	308	4	both	FALSE	s0
hom	INV	52	6	both	FALSE	s0
het	INV	3867	7	both	FALSE	s0
hom	INV	343	5	start	FALSE	s0
het	INV	868	9	both	FALSE	s0
het	INV	108	1	start	TRUE	s0
het	INV	67	4	start	FALSE	s0
hom	INV	695	3	start	FALSE	s0
hom	INV	84	10	start	FALSE	s0
het	INV	72	8	both	FALSE	s0
hom	INV	95	3	both	FALSE	s0
hom	INV	349	10	both	FALSE	s0
het	INV	90	6	both	FALSE	s0
het	INV	82	7	both	FALSE	s0
het	INV	77	7	both	FALSE	s0
hom	INV	191	5	both	FALSE	s0
het	INV	101	5	start	TRUE	s0
hom	INV	85	1	both	FALSE	s0
hom	INV	61	10	start	FALSE	s0
hom	INV	155	6	both	FALSE	s0
hom	INV	98	4	start	FALSE	s0
het	INV	342	3	start	TRUE	s0
hom	INV	328	3	start	FALSE	s0
het	INV	58	7	both	FALSE	s0
hom	INV	991	10	both	FALSE	s0
hom	INV	126	5	both	FALSE	s0
hom	INV	102	5	start	FALSE	s0
hom	INV	112	6	start	FALSE	s0
hom	INV	53	4	start	FALSE	s0
hom	INV	122	7	both	FALSE	s0
hom	INV	102	4	both	FALSE	s0
het	INV	103	5	start	FALSE	s0
hom	INV	676	10	both	FALSE	s0
hom	INV	222	9	both	FALSE	s0
het	INV	142	1	both	FALSE	s0
het	INV	116	6	both	FALSE	s0
het	INV	65	9	start	TRUE	s0
het	INV	275	2	both	FALSE	s0
hom	INV	104	7	both	FALSE	s0
hom	INV	333	6	start	FALSE	s0
hom	INV	771	8	start	FALSE	s0
hom	INV	157	3	both	FALSE	s0
het	INV	124	7	start	TRUE	s0
het	INV	506	9	start	FALSE	s0
hom	INV	55	5	start	FALSE	s0
hom	INV	68	9	start	FALSE	s0
het	INV	1144	1	both	FALSE	s0
het	INV	868	10	both	FALSE	s0
hom	INV	53	10	start	FALSE	s0
het	INV	138	2	start	TRUE	s0
hom	INV	109	7	start	FALSE	s0
het	INV	78	1	both	FALSE	s0
het	INV	59	3	both	FALSE	s0
hom	INV	108	4	both	FALSE	s0
het	INV	1624	4	start	FALSE	s0
hom	INV	193	5	both	FALSE	s0
het	INV	103	3	both	FALSE	s0
het	INV	130	10	start	FALSE	s0
het	INV	52	7	both	FALSE	s0
het	INV	196	9	start	FALSE	s0
het	INV	847	3	both	FALSE	s0
het	INV	534	4	both	FALSE	s0
hom	INV	211	1	both	FALSE	s0
het	INV	210	8	start	FALSE	s0
hom	INV	914	4	both	FALSE	s0
het	INV	304	4	start	FALSE	s0
het	INV	158	4	start	FALSE	s0
hom	INV	6053	1	both	FALSE	s0
het	INV	58	3	both	FALSE	s0
hom	INV	72	10	both	FALSE	s0
het	INV	337	5	start	FALSE	s0
hom	INV	79	5	both	FALSE	s0
hom	INV	78	1	start	FALSE	s0
hom	INV	124	6	start	TRUE	s0
het	INV	54	2	start	TRUE	s0
het	INV	55	9	start	FALSE	s0
hom	INV	332	7	start	FALSE	s0
het	INV	80	10	both	FALSE	s0
hom	INV	309	7	both	FALSE	s0
hom	INV	317	6	start	FALSE	s0
het	INV	119	6	both	FALSE	s0
hom	INV	74	6	start	FALSE	s0
het	INV	412	10	start	FALSE	s0
het	INV	280	8	start	TRUE	s0
het	INV	70	7	start	FALSE	s0
hom	INV	55	1	both	FALSE	s0
hom	INV	327	9	start	FALSE	s0
hom	INV	69	3	start	FALSE	s0
het	INV	55	4	start	FALSE	s0
het	INV	62	10	both	FALSE	s0
hom	INV	81	2	both	FALSE	s0
hom	INV	318	2	both	FALSE	s0
hom	INV	102	9	start	FALSE	s0
hom	INV	65	8	both	FALSE	s0
het	INV	90	7	both	FALSE	s0
hom	INV	114	8	both	FALSE	s0
het	INV	64	1	start	FALSE	s0
hom	INV	2232	1	both	FALSE	s0
het	INV	164	5	start	FALSE	s0
hom	INV	94	5	both	FALSE	s0
het	INV	76	3	both	FALSE	s0
het	INV	110	6	both	FALSE	s0
hom	INV	750	6	both	FALSE	s0
hom	INV	80	9	both	FALSE	s0
hom	INV	3653	10	start	FALSE	s0
het	INV	328	5	start	FALSE	s0
hom	INV	90	1	both	FALSE	s0
hom	INV	52	4	start	FALSE	s0
hom	INV	52	10	start	TRUE	s0
het	INV	127	3	start	FALSE	s0
het	INV	54	3	both	FALSE	s0
het	INV	82	6	both	FALSE	s0
hom	INV	4725	8	start	FALSE	s0
het	INV	6415	2	start	FALSE	s0
het	INV	112	1	start	TRUE	s0
het	INV	71	5	start	FALSE	s0
hom	INV	90	3	start	TRUE	s0
het	INV	297	10	both	FALSE	s0
hom	INV	337	5	both	FALSE	s0
het	INV	56	6	both	FALSE	s0
het	INV	60	2	start	FALSE	s0
het	INV	316	2	start	FALSE	s0
het	INV	105	4	start	TRUE	s0
hom	INV	356	5	start	FALSE	s0
hom	INV	91	10	both	FALSE	s0
het	INV	173	8	start	FALSE	s0
het	INV	336	10	both	FALSE	s0
het	INV	317	6	both	FALSE	s0
het	INV	3427	8	both	FALSE	s0
het	INV	314	10	both	FALSE	s0
hom	INV	178	1	start	FALSE	s0
hom	INV	808	3	both	FALSE	s0
het	INV	56	8	both	FALSE	s0
het	INV	156	10	both	FALSE	s0
het	INV	785	2	start	FALSE	s0
hom	INV	197	1	start	FALSE	s0
hom	INV	76	4	both	FALSE	s0
het	INV	125	8	start	FALSE	s0
hom	INV	59	10	start	FALSE	s0
hom	INV	100	4	start	FALSE	s0
hom	INV	675	3	both	FALSE	s0
hom	INV	543	7	both	FALSE	s0
het	INV	300	10	both	FALSE	s0
hom	INV	57	10	both	FALSE	s0
het	INV	76	7	start	TRUE	s0
hom	INV	328	6	both	FALSE	s0
het	INV	57	9	start	FALSE	s0
het	INV	193	3	both	FALSE	s0
hom	INV	70	10	both	FALSE	s0
het	INV	130	2	start	FALSE	s0
hom	INV	103	10	both	FALSE	s0
het	INV	189	8	both	FALSE	s0
het	INV	97	2	start	FALSE	s0
hom	INV	308	3	start	FALSE	s0
het	INV	1039	10	start	FALSE	s0
het	INV	127	5	start	TRUE	s0
hom	INV	52	9	both	FALSE	s0
hom	INV	190	3	start	FALSE	s0
hom	INV	139	9	both	FALSE	s0
hom	INV	203	4	both	FALSE	s0
het	INV	392	8	both	FALSE	s0
het	INV	98	3	start	TRUE	s0
hom	INV	52	9	both	FALSE	s0
het	INV	50	10	start	TRUE	s0
het	INV	58	3	start	FALSE	s0
hom	INV	302	6	start	FALSE	s0
hom	INV	325	6	both	FALSE	s0
het	INV	200	2	start	TRUE	s0
het	INV	95	3	both	FALSE	s0
het	INV	224	7	start	TRUE	s0
het	INV	259	3	start	FALSE	s0
hom	INV	91	9	start	FALSE	s0
hom	INV	64	5	start	FALSE	s0
hom	INV	91	1	start	FALSE	s0
hom	INV	102	7	start	FALSE	s0
het	INV	61	1	start	FALSE	s0
hom	INV	819	10	start	FALSE	s0
hom	INV	260	2	start	FALSE	s0
hom	INV	113	7	both	FALSE	s0
het	INV	175	2	both	FALSE	s0
het	INV	62	3	start	FALSE	s0
het	INV	327	9	both	FALSE	s0
hom	INV	53	9	both	FALSE	s0
hom	INV	68	8	start	FALSE	s0
hom	INV	65	7	both	FALSE	s0
hom	INV	84	8	start	FALSE	s0
het	INV	1920	4	start	FALSE	s0
hom	INV	56	8	start	FALSE	s0
hom	INV	170	9	start	FALSE	s0
hom	INV	124	5	both	FALSE	s0
hom	INV	141	8	both	FALSE	s0
hom	INV	1863	10	both	FALSE	s0
het	INV	196	2	start	TRUE	s0
het	INV	113	1	both	FALSE	s0
hom	INV	110	10	both	FALSE	s0
het	INV	96	1	start	FALSE	s0
hom	INV	71	10	both	FALSE	s0
hom	INV	64	4	both	FALSE	s0
hom	INV	72	9	start	TRUE	s0
hom	INV	196	6	start	TRUE	s0
het	INV	63	10	start	TRUE	s0
het	INV	59	1	start	FALSE	s0
hom	INV	94	6	start	FALSE	s0
hom	INV	67	2	both	FALSE	s0
het	INV	66	4	start	FALSE	s0
het	INV	105	10	both	FALSE	s0
het	INV	189	4	start	FALSE	s0
hom	INV	149	6	both	FALSE	s0
het	INV	147	1	start	FALSE	s0
hom	INV	180	10	both	FALSE	s0
het	INV	55	10	start	TRUE	s0
het	INV	54	6	start	FALSE	s0
hom	INV	461	1	both	FALSE	s0
hom	INV	53	1	start	FALSE	s0
hom	INV	656	3	both	FALSE	s0
hom	INV	148	10	both	FALSE	s0
hom	INV	308	1	both	FALSE	s0
het	INV	121	5	start	FALSE	s0
hom	INV	68	10	both	FALSE	s0
hom	INV	635	7	both	FALSE	s0
hom	INV	87	4	both	FALSE	s0
hom	INV	84	6	start	TRUE	s0
hom	INV	60	7	start	FALSE	s0
het	INV	331	2	both	FALSE	s0
het	INV	62	6	both	FALSE	s0
het	INV	67	4	both	FALSE	s0
hom	INV	60	1	start	TRUE	s0
hom	INV	190	5	start	FALSE	s0
hom	INV	312	5	both	FALSE	s0
hom	INV	108	5	start	FALSE	s0
hom	INV	80	2	start	FALSE	s0
hom	INV	51	3	start	FALSE	s0
hom	INV	126	1	both	FALSE	s0
hom	INV	2960	4	both	FALSE	s0
hom	INV	168	10	both	FALSE	s0
het	INV	434	7	both	FALSE	s0
het	INV	104	3	start	FALSE	s0
het	INV	57	2	start	TRUE	s0
het	INV	63	4	both	FALSE	s0
hom	INS	241	6	location/seq	TRUE	s1
het	INS	147	4	location/seq	FALSE	s1
het	INS	792	5	location/seq	TRUE	s1
hom	INS	356	2	location/seq	TRUE	s1
het	INS	433	2	location/seq	FALSE	s1
hom	INS	148	9	location/seq	TRUE	s1
het	INS	79	10	location/seq	TRUE	s1
het	INS	95	10	location/seq	TRUE	s1
het	INS	440	6	location/seq	TRUE	s1
het	INS	63	7	location/seq	TRUE	s1
hom	INS	69	9	location/seq	TRUE	s1
hom	INS	186	5	location/seq	TRUE	s1
hom	INS	79	9	location/seq	TRUE	s1
hom	INS	324	6	location/seq	TRUE	s1
het	INS	191	7	location/seq	TRUE	s1
hom	INS	95	2	location/seq	TRUE	s1
hom	INS	137	10	location/seq	TRUE	s1
hom	INS	118	11	location/seq	TRUE	s1
hom	INS	70	2	location/seq	TRUE	s1
het	INS	80	7	location/seq	TRUE	s1
het	INS	241	4	location/seq	TRUE	s1
het	INS	864	7	location/seq	TRUE	s1
hom	INS	97	8	location/seq	TRUE	s1
hom	INS	87	10	location/seq	TRUE	s1
hom	INS	183	10	location/seq	TRUE	s1
hom	INS	106	7	location/seq	TRUE	s1
hom	INS	322	3	location/seq	TRUE	s1
het	INS	177	10	location/seq	TRUE	s1
hom	INS	51	1	location/seq	TRUE	s1
het	INS	159	1	location/seq	TRUE	s1
hom	INS	61	3	location/seq	TRUE	s1
het	INS	200	8	location/seq	TRUE	s1
hom	INS	147	1	location/seq	TRUE	s1
hom	INS	65	3	location/seq	TRUE	s1
hom	INS	103	6	location/seq	TRUE	s1
hom	INS	103	6	location/seq	TRUE	s1
hom	INS	318	3	location/seq	TRUE	s1
hom	INS	265	7	location/seq	TRUE	s1
hom	INS	1474	2	location/seq	TRUE	s1
het	INS	96	6	location/seq	TRUE	s1
het	INS	53	5	location/seq	TRUE	s1
het	INS	276	3	location/seq	TRUE	s1
hom	INS	379	4	location/seq	TRUE	s1
het	INS	55	9	location/seq	TRUE	s1
hom	INS	234	5	location/seq	TRUE	s1
het	INS	61	5	location/seq	TRUE	s1
hom	INS	479	10	location/seq	TRUE	s1
hom	INS	1240	10	location/seq	TRUE	s1
hom	INS	335	3	location/seq	TRUE	s1
hom	INS	143	6	location/seq	TRUE	s1
hom	INS	186	3	location/seq	TRUE	s1
het	INS	211	9	location/seq	TRUE	s1
het	INS	60	2	location/seq	TRUE	s1
het	INS	55	4	location/seq	TRUE	s1
het	INS	264	8	location/seq	TRUE	s1
het	INS	74	5	location/seq	FALSE	s1
het	INS	272	1	location/seq	FALSE	s1
hom	INS	128	2	location/seq	TRUE	s1
hom	INS	357	1	location/seq	TRUE	s1
het	INS	179	2	location/seq	TRUE	s1
het	INS	309	3	location/seq	TRUE	s1
hom	INS	306	9	location/seq	TRUE	s1
het	INS	215	3	location/seq	TRUE	s1
hom	INS	589	10	location/seq	TRUE	s1
hom	INS	95	4	location/seq	TRUE	s1
het	INS	63	11	location/seq	FALSE	s1
hom	INS	376	3	location/seq	FALSE	s1
hom	INS	143	9	location/seq	TRUE	s1
het	INS	101	9	location/seq	TRUE	s1
het	INS	191	11	location/seq	FALSE	s1
het	INS	78	7	location/seq	TRUE	s1
het	INS	301	4	location/seq	TRUE	s1
het	INS	119	4	location/seq	TRUE	s1
hom	INS	93	3	location/seq	TRUE	s1
hom	INS	59	7	location/seq	TRUE	s1
hom	INS	176	6	location/seq	TRUE	s1
hom	INS	604	6	location/seq	TRUE	s1
hom	INS	82	5	location/seq	TRUE	s1
hom	INS	108	4	location/seq	TRUE	s1
hom	INS	347	7	location/seq	TRUE	s1
hom	INS	3577	2	location/seq	TRUE	s1
het	INS	5395	5	location/seq	TRUE	s1
het	INS	284	9	location/seq	TRUE	s1
het	INS	83	6	location/seq	FALSE	s1
het	INS	913	9	location/seq	TRUE	s1
hom	INS	328	5	location/seq	TRUE	s1
hom	INS	213	3	location/seq	TRUE	s1
hom	INS	187	5	location/seq	TRUE	s1
het	INS	218	8	location/seq	TRUE	s1
hom	INS	60	3	location/seq	TRUE	s1
hom	INS	180	10	location/seq	TRUE	s1
hom	INS	278	9	location/seq	TRUE	s1
hom	INS	68	3	location/seq	TRUE	s1
hom	INS	59	4	location/seq	TRUE	s1
hom	INS	109	7	location/seq	TRUE	s1
het	INS	316	12	location/seq	TRUE	s1
hom	INS	313	2	location/seq	TRUE	s1
het	INS	66	8	location/seq	FALSE	s1
het	INS	55	4	location/seq	TRUE	s1
hom	INS	214	10	location/seq	TRUE	s1
hom	INS	62	8	location/seq	TRUE	s1
hom	INS	224	10	location/seq	TRUE	s1
hom	INS	191	3	location/seq	TRUE	s1
het	INS	225	7	location/seq	TRUE	s1
hom	INS	330	8	location/seq	TRUE	s1
het	INS	215	7	location/seq	TRUE	s1
hom	INS	1084	7	location/seq	TRUE	s1
hom	INS	2861	1	location/seq	TRUE	s1
het	INS	345	11	location/seq	TRUE	s1
hom	INS	77	7	location/seq	TRUE	s1
hom	INS	125	9	location/seq	TRUE	s1
het	INS	355	1	location/seq	TRUE	s1
het	INS	121	2	location/seq	TRUE	s1
het	INS	91	7	location/seq	TRUE	s1
het	INS	59	3	location/seq	TRUE	s1
hom	INS	309	10	location/seq	TRUE	s1
hom	INS	91	5	location/seq	TRUE	s1
hom	INS	801	6	location/seq	TRUE	s1
hom	INS	111	3	location/seq	TRUE	s1
hom	INS	95	11	location/seq	TRUE	s1
het	INS	390	8	location/seq	TRUE	s1
het	INS	93	8	location/seq	TRUE	s1
hom	INS	111	9	location/seq	TRUE	s1
het	INS	1179	11	location/seq	TRUE	s1
hom	INS	541	2	location/seq	TRUE	s1
het	INS	122	7	location/seq	TRUE	s1
hom	INS	117	10	location/seq	TRUE	s1
het	INS	152	9	location/seq	FALSE	s1
hom	INS	313	6	location/seq	TRUE	s1
hom	INS	63	9	location/seq	TRUE	s1
hom	INS	114	11	location/seq	TRUE	s1
het	INS	255	11	location/seq	TRUE	s1
het	INS	146	1	location/seq	FALSE	s1
het	INS	93	6	location/seq	TRUE	s1
hom	INS	318	8	location/seq	TRUE	s1
het	INS	125	5	location/seq	FALSE	s1
hom	INS	271	6	location/seq	TRUE	s1
hom	INS	70	2	location/seq	TRUE	s1
hom	INS	128	9	location/seq	FALSE	s1
het	INS	91	2	location/seq	TRUE	s1
het	INS	73	5	location/seq	TRUE	s1
hom	INS	156	4	location/seq	TRUE	s1
