type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval	min.cov
DEL	3224	2787	102	553	0.9693	0.8344	0.8968	3	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3224	2787	102	5344	0.9693	0.3428	0.5065	4	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	4	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3224	2787	102	553	0.9693	0.8344	0.8968	4	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3208	2777	101	5354	0.9695	0.3415	0.5051	5	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	5	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3208	2777	101	563	0.9695	0.8314	0.8952	5	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3199	2770	101	5361	0.9694	0.3407	0.5042	7	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	7	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3199	2770	101	570	0.9694	0.8293	0.8939	7	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3191	2765	100	5366	0.9696	0.3401	0.5036	10	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	10	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3191	2765	100	575	0.9696	0.8278	0.8931	10	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3190	2764	99	5367	0.9699	0.3399	0.5034	12	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	12	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3190	2764	99	576	0.9699	0.8275	0.8931	12	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3179	2756	97	5375	0.9704	0.3389	0.5024	14	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	14	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3179	2756	97	584	0.9704	0.8251	0.8919	14	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3130	2715	95	5416	0.9705	0.3339	0.4969	21	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	21	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3130	2715	95	625	0.9705	0.8129	0.8847	21	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3102	2694	95	5437	0.9703	0.3313	0.4939	27	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	27	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3102	2694	95	646	0.9703	0.8066	0.8809	27	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3052	2664	90	5467	0.9714	0.3276	0.49	35	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	35	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3052	2664	90	676	0.9714	0.7976	0.876	35	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	3001	2621	88	5510	0.9715	0.3223	0.484	45	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	45	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	3001	2621	88	719	0.9715	0.7847	0.8682	45	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2987	2608	88	5523	0.9714	0.3207	0.4822	50	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	50	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2987	2608	88	732	0.9714	0.7808	0.8657	50	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2907	2551	86	5580	0.9713	0.3137	0.4742	60	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	60	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2907	2551	86	789	0.9713	0.7638	0.8551	60	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2819	2482	82	5649	0.9717	0.3053	0.4646	75	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	75	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2819	2482	82	858	0.9717	0.7431	0.8422	75	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2741	2417	78	5714	0.9723	0.2973	0.4554	90	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	90	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2741	2417	78	923	0.9723	0.7237	0.8298	90	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2697	2382	74	5749	0.9733	0.293	0.4504	99	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	99	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2697	2382	74	958	0.9733	0.7132	0.8232	99	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2665	2357	70	5774	0.9744	0.2899	0.4469	110	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	110	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2665	2357	70	983	0.9744	0.7057	0.8186	110	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2540	2268	63	5863	0.9758	0.2789	0.4338	133	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	133	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2540	2268	63	1072	0.9758	0.679	0.8008	133	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2359	2117	58	6014	0.976	0.2604	0.4111	167	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	167	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2359	2117	58	1223	0.976	0.6338	0.7685	167	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2240	2023	58	6108	0.9748	0.2488	0.3964	180	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	180	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	2240	2023	58	1317	0.9748	0.6057	0.7472	180	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	1907	1755	46	6376	0.9764	0.2158	0.3535	250	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	250	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	1907	1755	46	1585	0.9764	0.5254	0.6832	250	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	1451	1384	33	6747	0.9778	0.1702	0.2899	350	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	350	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	1451	1384	33	1956	0.9778	0.4144	0.5821	350	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	1110	1082	21	7049	0.9814	0.1331	0.2344	450	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	450	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	1110	1082	21	2258	0.9814	0.324	0.4872	450	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	849	822	17	7309	0.9804	0.1011	0.1833	550	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	550	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	849	822	17	2518	0.9804	0.2461	0.3934	550	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	632	611	9	7520	0.986	0.0751	0.1396	650	hgsvc	svtyper	HG00514	nonrep	call	0.5
INS	0	0	0	4791	NA	0	NA	650	hgsvc	svtyper	HG00514	nonrep	call	0.5
DEL	632	611	9	2729	0.986	0.1829	0.3086	650	hgsvc	svtyper	HG00514	nonrep	call	0.5
Total	2038	1679	721	4986	0.7387	0.2519	0.3757	0	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	0	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2038	1679	721	1058	0.7387	0.6134	0.6702	0	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2038	1679	721	4986	0.7387	0.2519	0.3757	2	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	2	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2038	1679	721	1058	0.7387	0.6134	0.6702	2	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2038	1679	721	4986	0.7387	0.2519	0.3757	3	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	3	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2038	1679	721	1058	0.7387	0.6134	0.6702	3	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2038	1679	721	4986	0.7387	0.2519	0.3757	4	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	4	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2038	1679	721	1058	0.7387	0.6134	0.6702	4	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2030	1672	719	4993	0.7385	0.2509	0.3745	5	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	5	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2030	1672	719	1065	0.7385	0.6109	0.6687	5	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2022	1665	719	5000	0.7377	0.2498	0.3732	7	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	7	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2022	1665	719	1072	0.7377	0.6083	0.6668	7	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2018	1661	717	5004	0.7378	0.2492	0.3726	10	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	10	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2018	1661	717	1076	0.7378	0.6069	0.666	10	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2017	1660	716	5005	0.738	0.2491	0.3725	12	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	12	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2017	1660	716	1077	0.738	0.6065	0.6658	12	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	2009	1652	714	5013	0.7378	0.2479	0.3711	14	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	14	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	2009	1652	714	1085	0.7378	0.6036	0.664	14	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1972	1616	704	5049	0.7369	0.2425	0.3649	21	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	21	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1972	1616	704	1121	0.7369	0.5904	0.6556	21	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1958	1602	699	5063	0.7369	0.2404	0.3625	27	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	27	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1958	1602	699	1135	0.7369	0.5853	0.6524	27	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1923	1577	687	5088	0.7368	0.2366	0.3582	35	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	35	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1923	1577	687	1160	0.7368	0.5762	0.6467	35	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1889	1544	675	5121	0.7367	0.2317	0.3525	45	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	45	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1889	1544	675	1193	0.7367	0.5641	0.6389	45	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1879	1534	673	5131	0.7363	0.2302	0.3507	50	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	50	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1879	1534	673	1203	0.7363	0.5605	0.6365	50	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1834	1491	654	5174	0.7371	0.2237	0.3432	60	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	60	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1834	1491	654	1246	0.7371	0.5448	0.6265	60	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1777	1441	632	5224	0.7377	0.2162	0.3344	75	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	75	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1777	1441	632	1296	0.7377	0.5265	0.6145	75	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1724	1395	617	5270	0.7364	0.2093	0.326	90	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	90	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1724	1395	617	1342	0.7364	0.5097	0.6024	90	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1698	1368	603	5297	0.7379	0.2053	0.3212	99	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	99	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1698	1368	603	1369	0.7379	0.4998	0.5959	99	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1676	1346	594	5319	0.7383	0.202	0.3172	110	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	110	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1676	1346	594	1391	0.7383	0.4918	0.5904	110	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1607	1285	558	5380	0.7423	0.1928	0.3061	133	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	133	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1607	1285	558	1452	0.7423	0.4695	0.5752	133	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1492	1182	514	5483	0.7438	0.1773	0.2863	167	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	167	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1492	1182	514	1555	0.7438	0.4319	0.5465	167	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1426	1131	497	5534	0.7415	0.1697	0.2762	180	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	180	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1426	1131	497	1606	0.7415	0.4132	0.5307	180	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	1211	946	416	5719	0.7443	0.1419	0.2384	250	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	250	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	1211	946	416	1791	0.7443	0.3456	0.472	250	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	938	712	323	5953	0.7439	0.1068	0.1868	350	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	350	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	938	712	323	2025	0.7439	0.2601	0.3854	350	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	733	533	241	6132	0.7526	0.08	0.1446	450	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	450	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	733	533	241	2204	0.7526	0.1947	0.3094	450	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	600	414	172	6251	0.7772	0.0621	0.115	550	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	550	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	600	414	172	2323	0.7772	0.1513	0.2533	550	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	487	320	100	6345	0.8296	0.048	0.0907	650	hgsvc	svtyper	HG00514	nonrep	geno	0.5
INS	0	0	0	3928	NA	0	NA	650	hgsvc	svtyper	HG00514	nonrep	geno	0.5
DEL	487	320	100	2417	0.8296	0.1169	0.2049	650	hgsvc	svtyper	HG00514	nonrep	geno	0.5
Total	4681	4239	286	27342	0.9424	0.1342	0.2349	0	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	0	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4681	4239	286	8168	0.9424	0.3417	0.5015	0	hgsvc	svtyper	HG00733	all	call	0.5
Total	4681	4239	286	27342	0.9424	0.1342	0.2349	2	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	2	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4681	4239	286	8168	0.9424	0.3417	0.5015	2	hgsvc	svtyper	HG00733	all	call	0.5
Total	4681	4239	286	27342	0.9424	0.1342	0.2349	3	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	3	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4681	4239	286	8168	0.9424	0.3417	0.5015	3	hgsvc	svtyper	HG00733	all	call	0.5
Total	4681	4239	286	27342	0.9424	0.1342	0.2349	4	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	4	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4681	4239	286	8168	0.9424	0.3417	0.5015	4	hgsvc	svtyper	HG00733	all	call	0.5
Total	4639	4213	280	27368	0.9431	0.1334	0.2337	5	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	5	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4639	4213	280	8194	0.9431	0.3396	0.4994	5	hgsvc	svtyper	HG00733	all	call	0.5
Total	4609	4186	272	27395	0.9443	0.1325	0.2324	7	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	7	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4609	4186	272	8221	0.9443	0.3374	0.4972	7	hgsvc	svtyper	HG00733	all	call	0.5
Total	4571	4148	264	27433	0.9454	0.1313	0.2306	10	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	10	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4571	4148	264	8259	0.9454	0.3343	0.4939	10	hgsvc	svtyper	HG00733	all	call	0.5
Total	4570	4146	263	27435	0.9456	0.1313	0.2306	12	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	12	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4570	4146	263	8261	0.9456	0.3342	0.4939	12	hgsvc	svtyper	HG00733	all	call	0.5
Total	4541	4115	254	27466	0.947	0.1303	0.2291	14	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	14	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4541	4115	254	8292	0.947	0.3317	0.4913	14	hgsvc	svtyper	HG00733	all	call	0.5
Total	4452	4029	242	27552	0.9484	0.1276	0.2249	21	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	21	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4452	4029	242	8378	0.9484	0.3247	0.4838	21	hgsvc	svtyper	HG00733	all	call	0.5
Total	4385	3964	231	27617	0.95	0.1255	0.2217	27	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	27	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4385	3964	231	8443	0.95	0.3195	0.4782	27	hgsvc	svtyper	HG00733	all	call	0.5
Total	4258	3866	215	27715	0.9519	0.1224	0.2169	35	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	35	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4258	3866	215	8541	0.9519	0.3116	0.4695	35	hgsvc	svtyper	HG00733	all	call	0.5
Total	4155	3775	203	27806	0.9534	0.1195	0.2124	45	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	45	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4155	3775	203	8632	0.9534	0.3043	0.4613	45	hgsvc	svtyper	HG00733	all	call	0.5
Total	4091	3714	199	27867	0.9536	0.1176	0.2094	50	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	50	hgsvc	svtyper	HG00733	all	call	0.5
DEL	4091	3714	199	8693	0.9536	0.2993	0.4556	50	hgsvc	svtyper	HG00733	all	call	0.5
Total	3981	3605	179	27976	0.957	0.1142	0.2041	60	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	60	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3981	3605	179	8802	0.957	0.2906	0.4458	60	hgsvc	svtyper	HG00733	all	call	0.5
Total	3805	3439	160	28142	0.9596	0.1089	0.1956	75	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	75	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3805	3439	160	8968	0.9596	0.2772	0.4301	75	hgsvc	svtyper	HG00733	all	call	0.5
Total	3591	3252	151	28329	0.9596	0.103	0.186	90	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	90	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3591	3252	151	9155	0.9596	0.2621	0.4117	90	hgsvc	svtyper	HG00733	all	call	0.5
Total	3500	3171	146	28410	0.96	0.1004	0.1818	99	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	99	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3500	3171	146	9236	0.96	0.2556	0.4037	99	hgsvc	svtyper	HG00733	all	call	0.5
Total	3431	3112	142	28469	0.9603	0.0985	0.1787	110	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	110	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3431	3112	142	9295	0.9603	0.2508	0.3977	110	hgsvc	svtyper	HG00733	all	call	0.5
Total	3193	2913	126	28668	0.962	0.0922	0.1683	133	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	133	hgsvc	svtyper	HG00733	all	call	0.5
DEL	3193	2913	126	9494	0.962	0.2348	0.3775	133	hgsvc	svtyper	HG00733	all	call	0.5
Total	2927	2678	113	28903	0.9628	0.0848	0.1559	167	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	167	hgsvc	svtyper	HG00733	all	call	0.5
DEL	2927	2678	113	9729	0.9628	0.2158	0.3526	167	hgsvc	svtyper	HG00733	all	call	0.5
Total	2748	2523	102	29058	0.9642	0.0799	0.1476	180	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	180	hgsvc	svtyper	HG00733	all	call	0.5
DEL	2748	2523	102	9884	0.9642	0.2034	0.3359	180	hgsvc	svtyper	HG00733	all	call	0.5
Total	2269	2090	69	29491	0.9705	0.0662	0.1239	250	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	250	hgsvc	svtyper	HG00733	all	call	0.5
DEL	2269	2090	69	10317	0.9705	0.1685	0.2871	250	hgsvc	svtyper	HG00733	all	call	0.5
Total	1691	1583	47	29998	0.973	0.0501	0.0953	350	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	350	hgsvc	svtyper	HG00733	all	call	0.5
DEL	1691	1583	47	10824	0.973	0.1276	0.2256	350	hgsvc	svtyper	HG00733	all	call	0.5
Total	1268	1216	32	30365	0.9754	0.0385	0.0741	450	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	450	hgsvc	svtyper	HG00733	all	call	0.5
DEL	1268	1216	32	11191	0.9754	0.098	0.1781	450	hgsvc	svtyper	HG00733	all	call	0.5
Total	942	900	19	30681	0.9802	0.0285	0.0554	550	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	550	hgsvc	svtyper	HG00733	all	call	0.5
DEL	942	900	19	11507	0.9802	0.0725	0.135	550	hgsvc	svtyper	HG00733	all	call	0.5
Total	721	695	11	30886	0.985	0.022	0.043	650	hgsvc	svtyper	HG00733	all	call	0.5
INS	0	0	0	19174	NA	0	NA	650	hgsvc	svtyper	HG00733	all	call	0.5
DEL	721	695	11	11712	0.985	0.056	0.106	650	hgsvc	svtyper	HG00733	all	call	0.5
Total	2931	2600	1273	24653	0.6972	0.0954	0.1678	0	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	0	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2931	2600	1273	8340	0.6972	0.2377	0.3545	0	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2931	2600	1273	24653	0.6972	0.0954	0.1678	2	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	2	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2931	2600	1273	8340	0.6972	0.2377	0.3545	2	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2931	2600	1273	24653	0.6972	0.0954	0.1678	3	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	3	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2931	2600	1273	8340	0.6972	0.2377	0.3545	3	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2931	2600	1273	24653	0.6972	0.0954	0.1678	4	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	4	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2931	2600	1273	8340	0.6972	0.2377	0.3545	4	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2908	2582	1258	24671	0.698	0.0947	0.1668	5	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	5	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2908	2582	1258	8358	0.698	0.236	0.3527	5	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2888	2563	1244	24690	0.6989	0.094	0.1657	7	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	7	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2888	2563	1244	8377	0.6989	0.2343	0.3509	7	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2866	2538	1232	24715	0.6994	0.0931	0.1643	10	hgsvc	svtyper	HG00733	all	geno	0.5
INS	0	0	0	16313	NA	0	NA	10	hgsvc	svtyper	HG00733	all	geno	0.5
DEL	2866	2538	1232	8402	0.6994	0.232	0.3484	10	hgsvc	svtyper	HG00733	all	geno	0.5
Total	2864	2535	1230	24718	0.6996	0.093	0.1642	12	hgsvc	svtyper	HG00733	all	geno	0.5
