type	size	FN	FP	TP	TP.baseline	precision	recall	F1	exp	method	sample	region	eval	min.cov
DEL	(300,400]	267	21	695	920	0.9707	0.7751	0.8619	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	(400,600]	80	6	51	72	0.8947	0.4737	0.6194	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	(5e+03,Inf]	69	5	65	77	0.9286	0.5274	0.6727	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	(600,800]	46	3	35	48	0.9211	0.5106	0.657	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	(800,1e+03]	54	3	34	43	0.9189	0.4433	0.5981	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	[50,100]	417	10	166	206	0.9432	0.3307	0.4897	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(100,200]	393	21	405	428	0.9507	0.5213	0.6734	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(1e+03,2.5e+03]	139	11	298	320	0.9644	0.6972	0.8093	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(2.5e+03,5e+03]	90	2	183	196	0.9892	0.6853	0.8097	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(200,300]	210	8	171	184	0.9553	0.467	0.6273	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(300,400]	716	17	502	539	0.9672	0.4295	0.5948	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(400,600]	105	4	130	144	0.9701	0.5783	0.7246	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(5e+03,Inf]	55	6	143	144	0.9597	0.7236	0.8251	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(600,800]	85	2	118	133	0.9833	0.6101	0.753	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	(800,1e+03]	42	4	94	101	0.9592	0.7063	0.8135	hgsvc	bayestyper	HG00733	nonrep	call	0.5
INS	[50,100]	473	37	545	561	0.9364	0.5426	0.6871	hgsvc	bayestyper	HG00733	nonrep	call	0.5
DEL	(100,200]	257	11	130	125	0.922	0.3272	0.483	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	131	13	114	115	0.8976	0.4675	0.6148	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	83	6	52	51	0.8966	0.3806	0.5344	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(200,300]	131	8	116	117	0.9355	0.4718	0.6273	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(300,400]	284	54	659	660	0.9243	0.6992	0.7961	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(400,600]	79	7	50	49	0.8772	0.3828	0.533	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(5e+03,Inf]	71	7	63	64	0.9	0.4741	0.621	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(600,800]	41	3	34	35	0.9189	0.4605	0.6135	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(800,1e+03]	53	4	34	32	0.8947	0.3765	0.53	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	[50,100]	375	14	161	161	0.92	0.3004	0.4529	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(100,200]	411	97	298	292	0.7544	0.4154	0.5358	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	139	40	195	194	0.8298	0.5826	0.6846	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	91	19	118	117	0.8613	0.5625	0.6805	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(200,300]	197	27	138	139	0.8364	0.4137	0.5536	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(300,400]	643	45	447	445	0.9085	0.409	0.5641	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(400,600]	110	35	81	80	0.6983	0.4211	0.5254	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(5e+03,Inf]	62	18	87	87	0.8286	0.5839	0.6851	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(600,800]	76	18	78	78	0.8125	0.5065	0.624	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	(800,1e+03]	44	16	60	60	0.7895	0.5769	0.6667	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
INS	[50,100]	513	127	426	427	0.7703	0.4543	0.5715	hgsvc	bayestyper	HG00733	nonrep	geno	0.5
DEL	(100,200]	1897	269	1056	1116	0.797	0.3704	0.5058	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(1e+03,2.5e+03]	360	29	221	238	0.884	0.398	0.5489	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(2.5e+03,5e+03]	178	17	98	102	0.8522	0.3643	0.5104	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(200,300]	657	74	376	422	0.8356	0.3911	0.5328	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(300,400]	623	40	987	1036	0.9611	0.6245	0.7571	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(400,600]	339	31	156	171	0.8342	0.3353	0.4783	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(5e+03,Inf]	161	8	88	94	0.9167	0.3686	0.5258	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(600,800]	168	15	88	103	0.8544	0.3801	0.5261	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(800,1e+03]	101	5	65	64	0.9286	0.3879	0.5472	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	[50,100]	3246	587	1747	1851	0.7485	0.3632	0.4891	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(100,200]	2005	403	856	949	0.6799	0.3213	0.4364	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(1e+03,2.5e+03]	443	93	414	461	0.8166	0.51	0.6279	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(2.5e+03,5e+03]	151	49	222	234	0.8192	0.6078	0.6978	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(200,300]	1013	176	323	387	0.6473	0.2764	0.3874	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(300,400]	1091	164	541	620	0.7674	0.3624	0.4923	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(400,600]	502	119	257	286	0.6835	0.3629	0.4741	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(5e+03,Inf]	95	38	147	144	0.7946	0.6025	0.6853	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(600,800]	314	65	196	234	0.751	0.427	0.5444	hgsvc	bayestyper	NA19240	all	call	0.5
INS	(800,1e+03]	195	52	106	121	0.6709	0.3829	0.4875	hgsvc	bayestyper	NA19240	all	call	0.5
INS	[50,100]	2876	766	1225	1331	0.6153	0.3164	0.4179	hgsvc	bayestyper	NA19240	all	call	0.5
DEL	(100,200]	2108	544	745	743	0.578	0.2606	0.3592	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(1e+03,2.5e+03]	370	53	193	195	0.7846	0.3451	0.4794	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(2.5e+03,5e+03]	187	32	83	83	0.7217	0.3074	0.4312	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(200,300]	727	165	281	294	0.63	0.288	0.3953	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(300,400]	704	131	890	890	0.8717	0.5583	0.6807	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(400,600]	361	65	120	117	0.6486	0.2448	0.3554	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(5e+03,Inf]	163	15	80	83	0.8421	0.3374	0.4818	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(600,800]	185	36	67	67	0.6505	0.2659	0.3775	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(800,1e+03]	112	13	57	56	0.8143	0.3333	0.473	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	[50,100]	3551	1028	1268	1285	0.5523	0.2657	0.3588	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(100,200]	1913	612	569	555	0.4818	0.2249	0.3067	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(1e+03,2.5e+03]	424	139	259	252	0.6508	0.3728	0.474	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(2.5e+03,5e+03]	158	61	133	135	0.6856	0.4608	0.5512	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(200,300]	939	246	217	224	0.4687	0.1926	0.273	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(300,400]	1011	211	447	441	0.6793	0.3037	0.4197	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(400,600]	463	166	157	158	0.4861	0.2544	0.334	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(5e+03,Inf]	103	56	74	74	0.5692	0.4181	0.4821	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(600,800]	305	97	118	122	0.5488	0.2857	0.3758	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	(800,1e+03]	175	65	69	71	0.5149	0.2886	0.3699	hgsvc	bayestyper	NA19240	all	geno	0.5
INS	[50,100]	2761	1048	867	865	0.4527	0.2386	0.3125	hgsvc	bayestyper	NA19240	all	geno	0.5
DEL	(100,200]	329	6	132	132	0.9565	0.2863	0.4407	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	192	11	107	116	0.9068	0.3766	0.5322	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	105	7	53	52	0.8833	0.3312	0.4818	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(200,300]	160	1	108	122	0.9908	0.4326	0.6022	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(300,400]	323	10	800	838	0.9877	0.7218	0.8341	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(400,600]	105	3	50	49	0.9434	0.3182	0.4759	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(5e+03,Inf]	80	4	58	60	0.9355	0.4286	0.5879	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(600,800]	78	0	26	32	1	0.2909	0.4507	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(800,1e+03]	53	1	40	38	0.9756	0.4176	0.5849	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	[50,100]	395	10	119	132	0.9225	0.2505	0.394	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(100,200]	320	97	276	329	0.7399	0.5069	0.6016	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(1e+03,2.5e+03]	156	36	285	311	0.8879	0.666	0.7611	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(2.5e+03,5e+03]	83	18	183	192	0.9104	0.6982	0.7903	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(200,300]	267	35	118	146	0.7712	0.3535	0.4848	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(300,400]	672	78	406	460	0.8388	0.4064	0.5475	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(400,600]	81	27	112	129	0.8058	0.6143	0.6971	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(5e+03,Inf]	63	26	123	123	0.8255	0.6613	0.7343	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(600,800]	74	12	100	119	0.8929	0.6166	0.7295	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	(800,1e+03]	46	23	63	72	0.7326	0.6102	0.6658	hgsvc	bayestyper	NA19240	nonrep	call	0.5
INS	[50,100]	374	147	400	442	0.7313	0.5417	0.6224	hgsvc	bayestyper	NA19240	nonrep	call	0.5
DEL	(100,200]	306	14	122	123	0.8971	0.2867	0.4345	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	187	14	104	107	0.8814	0.3639	0.5151	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	109	13	47	46	0.7833	0.2968	0.4305	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(200,300]	160	5	105	104	0.9545	0.3939	0.5577	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(300,400]	367	61	749	748	0.9247	0.6709	0.7776	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(400,600]	104	8	45	43	0.8491	0.2925	0.4351	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(5e+03,Inf]	83	7	55	56	0.8871	0.4029	0.5541	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(600,800]	73	0	26	26	1	0.2626	0.416	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(800,1e+03]	55	3	38	37	0.9268	0.4022	0.561	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	[50,100]	390	22	107	110	0.8295	0.22	0.3478	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(100,200]	315	137	209	208	0.604	0.3977	0.4796	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	134	56	184	182	0.7667	0.5759	0.6577	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	79	21	111	112	0.8409	0.5864	0.691	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(200,300]	245	45	94	105	0.6763	0.3	0.4156	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(300,400]	587	95	361	350	0.7917	0.3735	0.5076	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(400,600]	81	42	75	74	0.641	0.4774	0.5472	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(5e+03,Inf]	65	35	66	66	0.6535	0.5038	0.569	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(600,800]	63	26	61	62	0.7011	0.496	0.581	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	(800,1e+03]	43	26	41	40	0.6119	0.4819	0.5392	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
INS	[50,100]	382	208	316	321	0.6031	0.4566	0.5197	hgsvc	bayestyper	NA19240	nonrep	geno	0.5
DEL	(100,200]	1202	703	1463	1378	0.6754	0.5341	0.5965	hgsvc	delly	HG00514	all	call	0.5
DEL	(1e+03,2.5e+03]	259	55	328	303	0.8564	0.5391	0.6617	hgsvc	delly	HG00514	all	call	0.5
DEL	(2.5e+03,5e+03]	109	13	159	149	0.9244	0.5775	0.7109	hgsvc	delly	HG00514	all	call	0.5
DEL	(200,300]	481	160	506	479	0.7598	0.499	0.6024	hgsvc	delly	HG00514	all	call	0.5
DEL	(300,400]	331	123	1468	1287	0.9227	0.7954	0.8543	hgsvc	delly	HG00514	all	call	0.5
DEL	(400,600]	229	63	218	210	0.7758	0.4784	0.5918	hgsvc	delly	HG00514	all	call	0.5
DEL	(5e+03,Inf]	108	15	151	150	0.9096	0.5814	0.7094	hgsvc	delly	HG00514	all	call	0.5
DEL	(600,800]	138	20	110	113	0.8462	0.4502	0.5877	hgsvc	delly	HG00514	all	call	0.5
DEL	(800,1e+03]	77	19	93	88	0.8304	0.5333	0.6495	hgsvc	delly	HG00514	all	call	0.5
DEL	[50,100]	1790	1685	2849	2692	0.6284	0.6006	0.6142	hgsvc	delly	HG00514	all	call	0.5
INS	(100,200]	3765	53	311	314	0.8544	0.077	0.1413	hgsvc	delly	HG00514	all	call	0.5
INS	(1e+03,2.5e+03]	1016	4	3	4	0.4286	0.0039	0.0077	hgsvc	delly	HG00514	all	call	0.5
INS	(2.5e+03,5e+03]	413	2	0	0	0	0	NA	hgsvc	delly	HG00514	all	call	0.5
INS	(200,300]	1668	13	104	107	0.8889	0.0603	0.1129	hgsvc	delly	HG00514	all	call	0.5
INS	(300,400]	1839	17	240	239	0.9339	0.115	0.2048	hgsvc	delly	HG00514	all	call	0.5
INS	(400,600]	1152	6	15	10	0.7143	0.0086	0.017	hgsvc	delly	HG00514	all	call	0.5
INS	(5e+03,Inf]	236	2	0	0	0	0	NA	hgsvc	delly	HG00514	all	call	0.5
INS	(600,800]	693	2	6	7	0.75	0.01	0.0197	hgsvc	delly	HG00514	all	call	0.5
INS	(800,1e+03]	416	1	3	4	0.75	0.0095	0.0188	hgsvc	delly	HG00514	all	call	0.5
INS	[50,100]	4780	312	907	848	0.7441	0.1507	0.2506	hgsvc	delly	HG00514	all	call	0.5
DEL	(100,200]	1477	1105	951	825	0.4625	0.3584	0.4038	hgsvc	delly	HG00514	all	geno	0.5
DEL	(1e+03,2.5e+03]	275	96	256	208	0.7273	0.4306	0.5409	hgsvc	delly	HG00514	all	geno	0.5
DEL	(2.5e+03,5e+03]	118	29	131	105	0.8188	0.4709	0.5979	hgsvc	delly	HG00514	all	geno	0.5
DEL	(200,300]	550	294	333	293	0.5311	0.3476	0.4202	hgsvc	delly	HG00514	all	geno	0.5
DEL	(300,400]	484	338	1117	847	0.7677	0.6364	0.6959	hgsvc	delly	HG00514	all	geno	0.5
DEL	(400,600]	260	110	152	124	0.5802	0.3229	0.4149	hgsvc	delly	HG00514	all	geno	0.5
DEL	(5e+03,Inf]	111	29	130	116	0.8176	0.511	0.6289	hgsvc	delly	HG00514	all	geno	0.5
DEL	(600,800]	150	46	80	66	0.6349	0.3056	0.4126	hgsvc	delly	HG00514	all	geno	0.5
DEL	(800,1e+03]	82	43	61	55	0.5865	0.4015	0.4767	hgsvc	delly	HG00514	all	geno	0.5
DEL	[50,100]	2320	2421	1863	1742	0.4349	0.4289	0.4319	hgsvc	delly	HG00514	all	geno	0.5
INS	(100,200]	3190	146	208	188	0.5876	0.0557	0.1018	hgsvc	delly	HG00514	all	geno	0.5
INS	(1e+03,2.5e+03]	834	4	3	3	0.4286	0.0036	0.0071	hgsvc	delly	HG00514	all	geno	0.5
INS	(2.5e+03,5e+03]	328	2	0	0	0	0	NA	hgsvc	delly	HG00514	all	geno	0.5
INS	(200,300]	1458	43	71	66	0.6228	0.0433	0.081	hgsvc	delly	HG00514	all	geno	0.5
INS	(300,400]	1573	50	197	189	0.7976	0.1073	0.1892	hgsvc	delly	HG00514	all	geno	0.5
INS	(400,600]	963	16	5	4	0.2381	0.0041	0.0081	hgsvc	delly	HG00514	all	geno	0.5
INS	(5e+03,Inf]	191	2	0	0	0	0	NA	hgsvc	delly	HG00514	all	geno	0.5
INS	(600,800]	547	7	1	2	0.125	0.0036	0.007	hgsvc	delly	HG00514	all	geno	0.5
INS	(800,1e+03]	345	2	2	2	0.5	0.0058	0.0115	hgsvc	delly	HG00514	all	geno	0.5
INS	[50,100]	4452	632	519	485	0.4509	0.0982	0.1613	hgsvc	delly	HG00514	all	geno	0.5
DEL	(100,200]	168	5	300	261	0.9836	0.6084	0.7518	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(1e+03,2.5e+03]	109	16	211	204	0.9295	0.6518	0.7663	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(2.5e+03,5e+03]	65	3	96	91	0.9697	0.5833	0.7284	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(200,300]	74	1	216	202	0.9954	0.7319	0.8436	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(300,400]	85	34	1236	1079	0.9732	0.927	0.9495	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(400,600]	62	4	110	100	0.9649	0.6173	0.7529	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(5e+03,Inf]	34	6	115	112	0.9504	0.7671	0.849	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(600,800]	34	0	58	58	1	0.6304	0.7733	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(800,1e+03]	25	3	65	61	0.9559	0.7093	0.8143	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	[50,100]	175	12	360	341	0.9677	0.6609	0.7854	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(100,200]	589	17	170	168	0.9091	0.2219	0.3567	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(1e+03,2.5e+03]	463	1	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(2.5e+03,5e+03]	290	1	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(200,300]	290	6	66	68	0.9167	0.1899	0.3146	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(300,400]	968	12	225	226	0.9494	0.1893	0.3157	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(400,600]	236	1	6	4	0.8571	0.0167	0.0328	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(5e+03,Inf]	165	2	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(600,800]	200	0	2	3	1	0.0148	0.0292	hgsvc	delly	HG00514	nonrep	call	0.5
INS	(800,1e+03]	151	0	0	0	NA	0	NA	hgsvc	delly	HG00514	nonrep	call	0.5
INS	[50,100]	491	96	500	479	0.8389	0.4938	0.6217	hgsvc	delly	HG00514	nonrep	call	0.5
DEL	(100,200]	194	47	220	159	0.824	0.4504	0.5824	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(1e+03,2.5e+03]	119	37	166	137	0.8177	0.5352	0.647	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(2.5e+03,5e+03]	68	11	82	67	0.8817	0.4963	0.6351	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(200,300]	97	36	156	133	0.8125	0.5783	0.6757	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(300,400]	197	172	978	728	0.8504	0.787	0.8175	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(400,600]	64	16	85	62	0.8416	0.4921	0.6211	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(5e+03,Inf]	40	15	102	92	0.8718	0.697	0.7747	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(600,800]	36	8	46	37	0.8519	0.5068	0.6355	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(800,1e+03]	29	15	45	39	0.75	0.5735	0.65	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	[50,100]	207	53	283	232	0.8423	0.5285	0.6495	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(100,200]	519	56	125	120	0.6906	0.1878	0.2953	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(1e+03,2.5e+03]	345	1	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(2.5e+03,5e+03]	214	1	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(200,300]	245	23	47	45	0.6714	0.1552	0.2521	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(300,400]	826	36	190	183	0.8407	0.1814	0.2984	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(400,600]	182	5	3	1	0.375	0.0055	0.0108	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(5e+03,Inf]	127	2	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(600,800]	142	2	0	0	0	0	NA	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	(800,1e+03]	111	0	0	0	NA	0	NA	hgsvc	delly	HG00514	nonrep	geno	0.5
INS	[50,100]	566	257	322	302	0.5561	0.3479	0.428	hgsvc	delly	HG00514	nonrep	geno	0.5
DEL	(100,200]	1384	705	1496	1386	0.6797	0.5004	0.5764	hgsvc	delly	HG00733	all	call	0.5
DEL	(1e+03,2.5e+03]	289	45	322	290	0.8774	0.5009	0.6377	hgsvc	delly	HG00733	all	call	0.5
DEL	(2.5e+03,5e+03]	123	15	153	149	0.9107	0.5478	0.6841	hgsvc	delly	HG00733	all	call	0.5
DEL	(200,300]	511	150	528	514	0.7788	0.5015	0.6101	hgsvc	delly	HG00733	all	call	0.5
DEL	(300,400]	353	126	1480	1332	0.9215	0.7905	0.851	hgsvc	delly	HG00733	all	call	0.5
DEL	(400,600]	235	61	227	228	0.7882	0.4924	0.6061	hgsvc	delly	HG00733	all	call	0.5
DEL	(5e+03,Inf]	113	12	150	147	0.9259	0.5654	0.7021	hgsvc	delly	HG00733	all	call	0.5
DEL	(600,800]	123	21	120	116	0.8511	0.4854	0.6182	hgsvc	delly	HG00733	all	call	0.5
DEL	(800,1e+03]	85	11	108	100	0.9076	0.5405	0.6775	hgsvc	delly	HG00733	all	call	0.5
DEL	[50,100]	2093	1499	2987	2836	0.6658	0.5754	0.6173	hgsvc	delly	HG00733	all	call	0.5
INS	(100,200]	4137	67	281	298	0.8075	0.0672	0.1241	hgsvc	delly	HG00733	all	call	0.5
INS	(1e+03,2.5e+03]	1169	3	4	5	0.5714	0.0043	0.0085	hgsvc	delly	HG00733	all	call	0.5
INS	(2.5e+03,5e+03]	454	1	1	1	0.5	0.0022	0.0044	hgsvc	delly	HG00733	all	call	0.5
INS	(200,300]	1784	17	101	107	0.8559	0.0566	0.1062	hgsvc	delly	HG00733	all	call	0.5
INS	(300,400]	2006	12	266	264	0.9568	0.1163	0.2074	hgsvc	delly	HG00733	all	call	0.5
INS	(400,600]	1288	2	10	12	0.8333	0.0092	0.0182	hgsvc	delly	HG00733	all	call	0.5
INS	(5e+03,Inf]	287	1	1	1	0.5	0.0035	0.007	hgsvc	delly	HG00733	all	call	0.5
INS	(600,800]	829	1	5	9	0.8333	0.0107	0.0211	hgsvc	delly	HG00733	all	call	0.5
INS	(800,1e+03]	463	2	1	2	0.3333	0.0043	0.0085	hgsvc	delly	HG00733	all	call	0.5
INS	[50,100]	5189	290	944	869	0.765	0.1434	0.2415	hgsvc	delly	HG00733	all	call	0.5
DEL	(100,200]	1659	1141	943	787	0.4525	0.3217	0.3761	hgsvc	delly	HG00733	all	geno	0.5
DEL	(1e+03,2.5e+03]	293	94	234	203	0.7134	0.4093	0.5202	hgsvc	delly	HG00733	all	geno	0.5
DEL	(2.5e+03,5e+03]	131	32	125	109	0.7962	0.4542	0.5784	hgsvc	delly	HG00733	all	geno	0.5
DEL	(200,300]	593	283	361	326	0.5606	0.3547	0.4345	hgsvc	delly	HG00733	all	geno	0.5
DEL	(300,400]	495	320	1163	883	0.7842	0.6408	0.7053	hgsvc	delly	HG00733	all	geno	0.5
DEL	(400,600]	270	110	161	140	0.5941	0.3415	0.4337	hgsvc	delly	HG00733	all	geno	0.5
DEL	(5e+03,Inf]	116	24	133	120	0.8471	0.5085	0.6355	hgsvc	delly	HG00733	all	geno	0.5
DEL	(600,800]	136	42	92	71	0.6866	0.343	0.4575	hgsvc	delly	HG00733	all	geno	0.5
DEL	(800,1e+03]	88	27	88	72	0.7652	0.45	0.5667	hgsvc	delly	HG00733	all	geno	0.5
DEL	[50,100]	2577	2257	1975	1871	0.4667	0.4206	0.4425	hgsvc	delly	HG00733	all	geno	0.5
INS	(100,200]	3544	142	194	185	0.5774	0.0496	0.0914	hgsvc	delly	HG00733	all	geno	0.5
INS	(1e+03,2.5e+03]	948	7	0	0	0	0	NA	hgsvc	delly	HG00733	all	geno	0.5
INS	(2.5e+03,5e+03]	370	1	1	1	0.5	0.0027	0.0054	hgsvc	delly	HG00733	all	geno	0.5
INS	(200,300]	1571	44	74	67	0.6271	0.0409	0.0768	hgsvc	delly	HG00733	all	geno	0.5
INS	(300,400]	1726	39	234	227	0.8571	0.1162	0.2047	hgsvc	delly	HG00733	all	geno	0.5
INS	(400,600]	1050	7	5	4	0.4167	0.0038	0.0075	hgsvc	delly	HG00733	all	geno	0.5
INS	(5e+03,Inf]	231	2	0	0	0	0	NA	hgsvc	delly	HG00733	all	geno	0.5
